file_name,text,class
3190503.txt,"Lambuth Eagles Official site with news, schedule, roster and statistics. ",Baseball
3191539.txt,Northeast Texas Community College Baseball Official site of the Eagles. ,Baseball
3191864.txt,Dugout Central Analysis and opinion on individual players and teams with community discussion. ,Baseball
3190528.txt,"Fordham University Baseball Official site of the Rams with news, schedule, roster and statistics. ",Baseball
3192015.txt,"Fenway Park History History of the park directly from the official website. Directions, statistics, facts and milestones. ",Baseball
3190975.txt,"Chowan University Baseball Official site of the Hawks with news, schedule, roster and statistics. ",Baseball
3191733.txt,Mr. Baseball Baseball history and memorabilia. ,Baseball
3191090.txt,"University of Pittsburgh at Johnstown Baseball Official site of the Mountain Cats with news, schedule, roster and statistics. ",Baseball
3192740.txt,OurSports Central: Connecticut Defenders Complete coverage including their current schedule and results along with constantly updated news stories and press releases. ,Baseball
3191068.txt,Lincoln Memorial University Official site for Railsplitter baseball. ,Baseball
3193519.txt,"ESPN.com - Mark Wohlers Player profile, scouting report and career statistics. ",Baseball
3191444.txt,SUNY Oswego Baseball Official site of the Lakers. ,Baseball
3193147.txt,"ESPN.com - Scott Erickson Player profile, scouting report, career notes, and statistics. ",Baseball
3193243.txt,"AskMen.com - Derek Jeter Pictures, biography, commentary, and links on the talented athlete. ",Baseball
3193692.txt,D5-Rutherford Little League Provides a supervised baseball experience for children aged 5 through 12. The League was founded in 1951. ,Baseball
3191312.txt,"Massachusetts Institute of Technology Engineers. Includes a roster, statistics, an introduction to the coach, game schedule, and photographs. ",Baseball
3192655.txt,"CNNSI - Fort Wayne Wizards Team Page CNN/Sports Illustrated home page for the Fort Wayne Wizards. Page includes information on the most recent game, as well as league standings, a team roster, player statistics, and links to related pages. ",Baseball
3191449.txt,"Emory University Baseball Eagles - official web site with schedule, roster, statistics and news. ",Baseball
3191368.txt,"Muskingum College Baseball Fighting Muskies - official site with news, schedule, roster and statistics. ",Baseball
3191216.txt,"Iowa Intercollegiate Athletic Conference Official site containing a schedule of games, current standings, championship details, and press releases. ",Baseball
3193515.txt,"Dan Wilson Online Fan site about the all-star catcher, featuring statistics, news and history. ",Baseball
3190194.txt,"Wiffle Ball 2000 Listing of teams, players, standings, schedule and contacts. ",Baseball
3193039.txt,"Neal Ball Contains career statistics, players similar to him, and biographical information. ",Baseball
3190326.txt,"Park University Official site with news, schedule, roster and statistics. ",Baseball
3190439.txt,College of the Ozarks Baseball Official site. ,Baseball
3191846.txt,"Livescore Baseball Live scores in real time, baseball standings, schedules and statistics. ",Baseball
3193407.txt,"Manny Ramirez Links to biographies, interviews, and articles. ",Baseball
3190028.txt,"Ventura County National Adult Baseball Association League guide to teams for people age 18 and older. Features information on team play, current standings, newsletter, and game schedules for amateur organization. ",Baseball
3190034.txt,"San Diego Adult Baseball League Amateur adult league, team schedules, rule book, fields and standings. ",Baseball
3191492.txt,Carl Albert State College Baseball Official site of the Vikings. [Division II] ,Baseball
3193727.txt,"Pottsgrove Youth Athletic Association Baseball and girls softball programs for boys and girls 5 to 18 residing in Upper, Lower, and West Pottsgrove Townships. Information on divisions, teams, standings and events calendar. ",Baseball
3190256.txt,Cypress College Baseball Official site of the Chargers. ,Baseball
3193578.txt,"Legends Sports Photography Specializes in youth sports photography for leagues, clubs, and camps. ",Baseball
3190647.txt,"University of Houston Baseball Cougars - official site with news, schedule, roster, statistics and archived information. ",Baseball
3192609.txt,"WashingtonPost.com: Keys News coverage, schedule, and statistics. ",Baseball
3193643.txt,"Lagrange Little League Offers baseball and softball programs. Includes news, schedules, coaching resources, team list, and standings. ",Baseball
3190140.txt,"Simsbury Taverneers Vintage Base Ball Club Team history and mission statement, season schedule, sponsors and list of players. Simsbury, Connecticut. ",Baseball
3191636.txt,"Southern Virginia University Baseball Official site of the Knights with news, schedule, roster and statistics. ",Baseball
3190979.txt,"King College (Tennessee) Tornado Baseball Official site with news, schedule, roster and statistics. ",Baseball
3190402.txt,"Lewis-Clark State College Baseball Warriors. Voting poll, statistics, season preview, coaching staff, roster and a game schedule. ",Baseball
3192556.txt,"CBS Sportsline Updated box scores, transactions, injury reports, schedules, images and roster. ",Baseball
3191763.txt,"Bat Speed Features bat speed mechanics, hitting video, forum, and baseball discussions. ",Baseball
3191343.txt,"University of Puget Sound Loggers. Contains pictures, a roster, schedule, recruiting information, and a description of facilities. ",Baseball
3191230.txt,"Skidmore College Thoroughbreds. Includes news items, roster, coaching staff, pictures, statistics, a game schedule. ",Baseball
3190974.txt,"Palm Beach Atlantic University Baseball Sailfish - official site with news, schedule, roster and statistics. ",Baseball
3192129.txt,"Yahoo! Sports Contains news, transactions, photo galleries, schedule, batting and pitching statistics, roster, daily notes and links. ",Baseball
3193828.txt,"D5-Greater Richland Little League Contains pictures, league standings, news items, tournament schedules, pictures, and a description of facilities. ",Baseball
3192780.txt,Tulsa World Coverage of the Tulsa Drillers. ,Baseball
3191527.txt,Angelina College Baseball Official site of the Roadrunners. ,Baseball
3193387.txt,"Posdenick Fan Site View pictures, press, links, and a section about Milwaukee baseball. ",Baseball
3191805.txt,Baseball Reference Listing of Gold Glove Award winners for the National and American leagues from 1957 to the present. ,Baseball
3192057.txt,"Wrigley Field History History of the park directly from the official website. Directions, statistics, facts and milestones. ",Baseball
3191983.txt,Singapore Sox Fan A blog from a fan in Asia that includes commentary on the latest team news. ,Baseball
3191098.txt,"NCAA Division III Baseball Polls, Links to regional web rings, schedules, and history ",Baseball
3191665.txt,"Baseball Songs Find songs about the game, written by taking popular tunes and adding baseball lyrics. ",Baseball
3193169.txt,SI.com - Eric Gagne Season and career statistics from SI.com. ,Baseball
3193854.txt,"LaPorte Boys Baseball Association Located in LaPorte, Texas. Includes roster, schedule, leagues, sponsors, directions, sign-up forms, rules, handouts, message board, awards, and registration information. ",Baseball
3192396.txt,"Philaphans Daily game recaps, box scores, transactions and feature articles. Also includes a message board. ",Baseball
3192234.txt,"Los Angeles Times Local news coverage that presents articles, standings, statistics, transactions and pictures. ",Baseball
3193912.txt,Tyrone 11-12 Thunder Informative site for parents of the 2002 Fall 11-12 Tyrone Thunder. ,Baseball
3190513.txt,"Indiana Tech Warriors Official site with news, schedule, roster and statistics. ",Baseball
3191138.txt,"McDaniel Green Terror Official baseball site with news, schedule, roster and statistics. ",Baseball
3191365.txt,D'Youville College Baseball Official site of the Spartans includes a game schedule and fact sheet. ,Baseball
3190282.txt,Cuesta College Baseball Official site of the Cougars. ,Baseball
3190648.txt,"Marshall University Baseball Contains news, roster, schedule, and statistics for the Herd. ",Baseball
3192645.txt,"Baseball America Online - Burlington Bees Includes contact information, schedule, statistics, and news. ",Baseball
3191401.txt,Farmingdale State College Baseball Official site of the Rams. ,Baseball
3193543.txt,"The Baseball Analysts Rich Lederer and Bryan Smith contribute daily to this part-weblog, part-science project, keeping you up to date with the days statistics of interest. ",Baseball
3193596.txt,"Moore Youth Baseball Association Provides leagues in six different age groups in Moore, Oklahoma. Includes schedules, standings, tournament information, field location, standings, photos, board members, coach information, and archives. Also provides individual team pages. ",Baseball
3193754.txt,"D12 - West Pinellas National Little League View images of Yankee players, coaches and parents. Also, provides league standings, tournaments, schedule and registration. ",Baseball
3192917.txt,"Greeneville Astros Includes news, statistics, schedule, roster, and affiliation information, courtesy of MinorLeagueBaseball.com. ",Baseball
3193149.txt,"Shawn Estes All Star Page Fan site with brief biography, trivia and photos. ",Baseball
3191858.txt,"USA Today Includes basic news and updates, statistics, team profiles, fantasy baseball information and depth charts. ",Baseball
3192632.txt,"Legends Field Tampa Home field of the Tampa Yankees and spring training home of the New York Yankees. Tampa Yankees schedule, standings, and ticket information. ",Baseball
3193438.txt,ESPN.com - Brian Rose Profile and career statistics. ,Baseball
3193652.txt,"Newington Little League Challenger Division Includes news, calendar, event list, photos, and directions. ",Baseball
3190214.txt,Diablo Valley College Baseball Official site of the Vikings. ,Baseball
3190444.txt,"Iowa Wesleyan Tigers Official site with news, schedule, roster and statistics. ",Baseball
3192126.txt,Cleveland Indians Web Ring Contains hyperlinks to a variety of fansites. ,Baseball
3192139.txt,"Rox Head Showcases roster, news, statistics, history and related links. ",Baseball
3193482.txt,Doug's Tram Site Fan page with a focus on memorabilia; includes pictures from the author's collection in addition to articles. ,Baseball
3192420.txt,"Baseball Almanac Historical research concerning the organization that includes a record book, rosters, uniform numbers and award winners. ",Baseball
3192560.txt,Blue Jays News Feeds Links to various news feeds from websites around the internet. ,Baseball
3190394.txt,"Graceland (Iowa) Yellow Jackets Official site with news, schedule, roster and statistics. ",Baseball
3192292.txt,"Excite Sports Final team standings and other archived information including statistics, schedules and injury reports. ",Baseball
3192432.txt,"Pirates LIVE Daily news and game summaries as well as schedule, scores, roster, statistics, history, records and transactions. ",Baseball
3193737.txt,"District 17 Little League Contains pictures, a listing of upcoming tournaments, a game schedule, facilities, and news items. ",Baseball
3192561.txt,"MLB FanHouse Toronto Blue Jays news, stats and commentary. ",Baseball
3192214.txt,Royal Board Discussion forum for Royals fans. ,Baseball
3192907.txt,"United League Baseball Official website for this independent professional league. News, schedules, and staff profiles. ",Baseball
3190603.txt,"Highlander Baseball Official site includes news, schedule, roster, and statistics. ",Baseball
3192988.txt,"CBS.SportsLine.com - Players MLB information including team rosters, players of the week, position listings, fantasy information, and statistics. ",Baseball
3190912.txt,"C.W. Post Pioneers - Official site with news, roster, schedule, staff and archive. ",Baseball
3190986.txt,University of Central Oklahoma Baseball Official site of the Bronchos. ,Baseball
3193564.txt,"National Women's Baseball Hall of Fame Promoting achievement in women's baseball. Includes inductees, awards and building fund information. ",Baseball
3193171.txt,Joe Garagiola Statistics Baseball-Reference.com provides major league batting and fielding major statistics for each season of his career ,Baseball
3191993.txt,Sedition in Red Sox Nation Blog that covers the team and other Boston sports news. ,Baseball
3191884.txt,"Spring Training Online Focuses on providing general information such as travel guides, reservations and ticket purchases. ",Baseball
3190756.txt,"Otahkians Baseball Official site featuring news, schedules, rosters, player profiles, and statistics. ",Baseball
3191860.txt,"Baseball Daily Digest Contains news, articles, and statistical analysis from a team of writers. ",Baseball
3190831.txt,"Summit League Baseball News, standings, statistics and schedules. ",Baseball
3192904.txt,"Winnipeg Goldeyes Official website of the Winnipeg, Manitoba Goldeyes minor league baseball team. ",Baseball
3193370.txt,"ESPN.com: Brad Penny Player profile, scouting report, career notes, and statistics. ",Baseball
3193377.txt,"Josh Phelps Fansite - Blue Jays Includes information, statistics, pictures, and news on the Toronto Blue Jay star Josh Phelps. ",Baseball
3192044.txt,Washington Post Associated Press and local Post newspaper articles as well as various statistical breakdowns. ,Baseball
3190416.txt,"Berea (KY) Mountaineers Contains news, schedule, roster and statistics. ",Baseball
3190678.txt,"Broncs Baseball Official site with scores, statistics, pictures, roster, and a schedule of games. ",Baseball
3190113.txt,"Houston Crawdads Houston, Texas baseball team. Features rainout information, league rules, schedule and game results. ",Baseball
3191075.txt,"Nova Southeastern University Baseball Official site of the Sharks includes roster, schedules, scores, and information on the coaches. ",Baseball
3192706.txt,"Vancouver Canadians Official website for the Vancouver, British Columbia, Canadians minor league baseball team. ",Baseball
3191274.txt,"Fairleigh-Dickinson University Devils Official baseball site with news, schedule, roster and statistics. ",Baseball
3191535.txt,Paris Junior College Baseball Official site of the Dragons. ,Baseball
3190198.txt,"Wifflepalooza Tournament located in the midwest with articles, past event coverage, news items and registration details. ",Baseball
3192532.txt,"Baseball Almanac Historical research concerning the organization that includes a record book, rosters, uniform numbers and award winners. ",Baseball
3191358.txt,"Wooster Scots Official baseball site with news, schedule, roster and statistics. ",Baseball
3193421.txt,"Eve's Magazine - Jackie Robinson: An American Hero Read legendary sports writer Maury Allen's portrait of the great Jackie Robinson, a baseball player who changed the course of American history. ",Baseball
3190699.txt,"Mid-American Athletic Conference Baseball News, standings, statistics, and composite schedule. ",Baseball
3192191.txt,"Wikipedia On-line, hyperlinked encyclopedia that offers season records, facts, historical information and photographs. ",Baseball
3192397.txt,"Phillies Fan Page Features news, game recaps, standings, statistics, related media and a forum. ",Baseball
3190276.txt,Long Beach City College Baseball Official site of the Vikings. ,Baseball
3190180.txt,"Whately Pioneers Roster, photos and information from team in Whately, Massachusetts. ",Baseball
3191958.txt,"Belfry Features articles, history, scores, statistics and news headlines. ",Baseball
3192440.txt,"Yahoo! Sports Presents news, standings, roster, schedule and game logs. ",Baseball
3192060.txt,"Soxtalk News, forum discussion and chat concerning the team. ",Baseball
3190907.txt,"Mercy College Baseball Official site of the Flyers with news, schedule, roster and statistics. ",Baseball
3191122.txt,"University of Mary Hardin-Baylor Baseball Official site of the Crusaders with news, schedule, roster and statistics. ",Baseball
3190067.txt,"Hernando Desoto League Adult amateur baseball, ages 30 over, team statistics, schedule and game results. ",Baseball
3193063.txt,CNN/SI - Barry Bonds Profile and statistics. ,Baseball
3190653.txt,"Green Wave Baseball Official site includes news, schedule, rosters, and statistics. ",Baseball
3192216.txt,"Yahoo! Sports Contains news, standings, a roster, schedule and game logs. ",Baseball
3191638.txt,St. Joseph's College - Broklyn Campus Baseball Official site of the Bears. ,Baseball
3192744.txt,"Erie Seawolves Yahoo Club Yahoo! group dedicated to the Erie Seawolves, the AA Eastern League affiliate of the Detroit Tigers. ",Baseball
3190472.txt,"Wayland Baptist University Pioneers - official web site with schedule, roster, statistics, coaching staff and junior varsity information. ",Baseball
3193837.txt,Hamilton Heights Youth League A youth baseball and softball league located in south central Pennsylvania just west of Chambersburg. ,Baseball
3190117.txt,"Stembridge Riverbats Baltimore, Maryland area baseball team. Includes links, news, statistics and roster. ",Baseball
3192434.txt,"Baseball Almanac Historical research concerning the organization that includes a record book, rosters, uniform numbers and award winners. ",Baseball
3191179.txt,"Ithaca College Bombers. Includes a player listing, statistics, coaching staff, past results, and a schedule. ",Baseball
3190332.txt,"Virginia Intermont Cobras Official site with news, schedule, roster and statistics. ",Baseball
3191107.txt,"Frostburg State University Bobcats. Contains statistics, press releases, coaching staff, a roster of players, coaching staff, and records. ",Baseball
3190930.txt,"Missouri University of Science and Technology Baseball Miners - official site with news, schedule, roster and statistics. ",Baseball
3190058.txt,"Kansas City MSBL Men's senior baseball league, 18, 28, 38 over, schedules, field directions, game scores, highlights and rosters. ",Baseball
3193921.txt,"Cincinnati Flames Baseball Sponsors select teams including 9U, 10U, 11U, 12U, 13U, 14U, and 15U and participates in the Southwest Ohio League. Includes roster, profiles, schedule, results, and photos for each team. ",Baseball
3192048.txt,"FOX Sports In-depth coverage that offers statistics, game logs, results, schedules, news and minor league information. ",Baseball
